cliente_codigo,cliente_nombre,cliente_razon_social,cliente_direccion,cliente_localidad,cliente_dpto,cliente_cel,cliente_tel,cliente_email,score,estacion_idx,estacion_nombre,estacion_marca,estacion_direccion,estacion_localidad,estacion_dpto,CONFIRMAR_LINK
10002699,Disa Misurol 6,Disa Misurol 6 (Montevideo Pocitos),Ellauri  1287,MONTEVIDEO,MONTEVIDEO,091366576,,proveedoresmisurol@disagrupo.uy,1.24,452,Disa,DISA,José Ellauri 1287,Montevideo,Montevideo,
10001017,ESTACIÓN OLIMPIA SRL,ESTACIÓN OLIMPIA SRL,Av.Cesar Mayo Gutierrez 2164,MONTEVIDEO,MONTEVIDEO,099 177 411,2 320 91 13,administracion@estacionolimpia.com.uy,1.24,33,Estación Independencia,ANCAP,Avenida General Rivera 5259,Montevideo,Montevideo,
10002450,La Riviera Ltda,La Riviera Ltda (Estación Disa),Luis Alberto de Herrera 3477,MONTEVIDEO,MONTEVIDEO,092871778,22000876,disanuevocentro@gmail.com,1.24,105,Servicentro California,AXION,Avenida Luis Alberto de Herrera 4097,Montevideo,Montevideo,
10002151,SERVICENTRO SAYAGO S.A. (ESTACION ANCAP),SERVICENTRO SAYAGO S.A. (ESTACION ANCAP),AV. GARZON 1028 esq. ARIEL,MONTEVIDEO,MONTEVIDEO,,23599247,paoloancap@gmail.com,1.23,282,Servicentro Sayago,ANCAP,Avenida General Eugenio Garzón 1028,Montevideo,Montevideo,
10002630,Disa Tilcor S.A,Disa Tilcor S.A,Ellauri 1287,MONTEVIDEO,MONTEVIDEO,091366576,2900 4147,ms.cecilia.rivero@misurol.com.uy,1.23,452,Disa,DISA,José Ellauri 1287,Montevideo,Montevideo,
10002610,Chariton S.A (ESTACION ANCAP),Chariton S.A (ESTACION ANCAP),Mendoza 5895,MONTEVIDEO,MONTEVIDEO,099717606,222717606,charitonsa@hotmail.com,1.22,191,Chariton SA,OTRA,Avenida Don Pedro de Mendoza 5895,Montevideo,Montevideo,
10001926,INTYBEL LTDA,ESTACIÓN ANCAP (INSTRUCCIONES),Instrucciones 4196,MONTEVIDEO,MONTEVIDEO,,,,1.21,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10001931,MARNE LTDA (ESTACION ANCAP),ESTACIÓN ANCAP (PROPIOS),AV JOSE BATTLE Y ORDOÑEZ  3855,MONTEVIDEO,MONTEVIDEO,,24817704,marneltda@adinet.com.uy,1.21,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10002047,OCHO LTDA. (ESTACION ANCAP),OCHO LTDA. (ESTACION ANCAP),URUGUAYANA 3328,MONTEVIDEO,MONTEVIDEO,,23097325,ocho@montevideo.com.uy,1.21,16,ANCAP,ANCAP,Uruguayana 3328,Montevideo,Montevideo,
10002067,CYNEL S.A. (ESTACIÓN ANCAP),CYNEL S.A. - ESTACION ANCAP,Leandro Gómez 1395,PAYSANDÚ,PAYSANDÚ,097507202,47222001,cynelsa@adinet.com.uy,1.21,226,ANCAP,ANCAP,Leandro Gómez 1395,Paysandú,Paysandú,
10001944,Petro Sur Ltda (ESTACIÓN ANCAP),Estación Ancap RUTA 1,Brigadier Gral. Manuel Oribe km. 17.500,MONTEVIDEO,MONTEVIDEO,,23121066,petrosurancap@hotmail.com,1.2,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10002508,Rostan Ltda (Estación Ancap),Rostan Ltda (Estación Ancap),18 de Julio 1949,FRAY BENTOS,RÍO NEGRO,099047281,45622617,valeria.rostanltda@gmail.com,1.2,167,ANCAP,ANCAP,18 de Julio 1949,Fray Bentos,Río Negro,
10001936,ESTACIÓN RONDEAU LTDA,ESTACIÓN ANCAP (RONDEAU),RONDEAU 2109,MONTEVIDEO,MONTEVIDEO,,94382472,administracion@ancaprondeau.com,1.18,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10002591,Petro norte S.R.L (DISA ),Petro norte S.R.L (Entrega en Ruta3 km 90.500),INÉS DURÁN 1006,TRINIDAD,FLORES,091042169,43642463,cristina.petronorte@gmail.com,1.18,97,Disa,DISA,Inés Durán 1006,Trinidad,Flores,
10001942,Ergus Srl,Estación Ancap (Ergus),Rambla República De Argentina y Ejido,MONTEVIDEO,MONTEVIDEO,,,ergus.srl@gmail.com,1.17,437,ANCAP,ANCAP,Rambla República Argentina 1201,Montevideo,Montevideo,
10002236,Ferrari SRL,Ferrari SRL (Estación Disa),General Flores  5049,MONTEVIDEO,MONTEVIDEO,094408226,22156790,ferrarisrl@montevideo.com.uy,1.17,33,Estación Independencia,ANCAP,Avenida General Rivera 5259,Montevideo,Montevideo,
10002266,HDO S.A,HDO,Av. Batlle y Ordoñez 652 esq. Wilson. F. Aldunate,NUEVA HELVECIA,COLONIA,,45544250,hdo@adinet.com.uy,1.17,329,Disa,DISA,José Batlle y Ordóñez,Nueva Helvecia,Colonia,
10002078,ESTACION BUCEO LTDA.,ESTACION BUCEO LTDA.,RIVERA 3705 esq. SANTIAGO RIVAS,MONTEVIDEO,MONTEVIDEO,,26225624,estaciondeserviciobuceo@gmail.com,1.16,258,Estación Victoria,AXION,Avenida General San Martín 3904,Montevideo,Montevideo,
10002180,VIDAMAR LTDA,VIDAMAR LTDA (ESTACIÓN DISA),General flores  2856,MONTEVIDEO,MONTEVIDEO,099883490,22036511,disalacampana@gmail.com,1.16,33,Estación Independencia,ANCAP,Avenida General Rivera 5259,Montevideo,Montevideo,
10002258,CALMANY S.A,Estación de Servicio Ancap,Francisco Sastre S/N,VILLA DEL CARMEN,DURAZNO,099364400,098 546 100,cuentascorrientes@xiviller.com,1.16,340,ANCAP,ANCAP,Francisco Sastre 18,Carmen,Durazno,
10002132,ESTACIONES DE SERVICIO,ESTACIONES DE SERVICIO,CEIBAL 1587,MONTEVIDEO,MONTEVIDEO,,,,1.15,33,Estación Independencia,ANCAP,Avenida General Rivera 5259,Montevideo,Montevideo,
1001015,Pontinvrea S.R.L. (Estación Ancap),Pontinvrea S.R.L. (ANCAP),General Flores 3090,MONTEVIDEO,MONTEVIDEO,,22039192,estacionsanjuan@hotmail.com,1.15,64,ANCAP,ANCAP,Avenida General Flores 3090,Montevideo,Montevideo,
10001933,Alquimia 4 SAS (Estacion Ancap),Estación Ancap (Ruta 8),Ruta 8 y Ruta 102,MONTEVIDEO,MONTEVIDEO,,84117038,compras@alquimia4.com,1.14,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10001935,CEGEMA LTDA,ESTACIÓN ANCAP (AGRACIADA),AGRACIADA 2434,MONTEVIDEO,MONTEVIDEO,,094382472,pbriozo@ancapagraciada.com,1.14,258,Estación Victoria,AXION,Avenida General San Martín 3904,Montevideo,Montevideo,
10001988,SIMANOR S.A. (ESTACIÓN DISA),SIMANOR S.A. (ESTACIÓN DISA),21 DE SETIEMBRE  2489,MONTEVIDEO,MONTEVIDEO,097103557,27106345,estacion21@yahoo.com,1.14,8,Disa,DISA,21 de Setiembre 2489,Montevideo,Montevideo,
10002033,DANDAL LTDA. (ESTACIÓN ANCAP),ESTACION ANCAP (DANDAL LTDA.),LUIS ALBERTO DE HERRERA 1356,MONTEVIDEO,MONTEVIDEO,,26285868,dandal@adinet.com.uy,1.13,444,ANCAP,ANCAP,Avenida Luis Alberto de Herrera 1356,Montevideo,Montevideo,
10002592,Besalco S.A (DISA),Besalco S.A (Entregar en Ruta 3 km 90.500),Luis A. de Herrera 600,SAN JOSÉ DE MAYO,SAN JOSÉ,091042169,4342 3326,besalcosj@gmail.com,1.13,360,Disa,DISA,Avenida Luis Alberto de Herrera 600,San José,San José,
10002418,Takel ltda (Estacion Ancap),Takel ltda (Estacion Ancap),Carlos Maria Ramirez 798,MONTEVIDEO,MONTEVIDEO,094263601,2309 3851,info@estacionesdeservicio.com.uy,1.12,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10002413,Tio Pato SAS,Tio Pato SAS (ESTACION DISA),BR. BALLE Y ORDOÑEZ 933,NUEVA HELVECIA,COLONIA,099387645,45544191,,1.12,329,Disa,DISA,José Batlle y Ordóñez,Nueva Helvecia,Colonia,
10002068,CYNEL S.A. (ESTACIÓN ANCAP),CYNEL S.A. - ESTACION ANCAP,Ruta 3 km. 366.5,PAYSANDÚ,PAYSANDÚ,097507202,47222001,cynelsa@adinet.com.uy,1.11,377,ANCAP,ANCAP,Ruta 90 Km 6.5,Paysandú,Paysandú,
10002126,TAFIBEL S.A. (ESTACION ANCAP),TAFIBEL S.A. (ESTACION ANCAP),BRIGADIER GRAL. FRUCTUOSO RIVERA  esq. KM. 19.700,LA PAZ,CANELONES,,23623142,ballettogonzalo@gmail.com,1.1,18,ANCAP,ANCAP,Ruta 5 Brigadier General Fructuoso Rivera Km 19.700,La Paz,Canelones,
10002419,Petrovolpe S.R.L (Estacion Ancap),Petrovolpe S.R.L (Estacion Ancap),Charruas 1113,PAYSANDÚ,PAYSANDÚ,098113241,47234330,petrovolpesrl@adinet.com.uy,1.1,376,ANCAP,ANCAP,Charrúa 1113,Paysandú,Paysandú,
10002053,RAISAN LTDA. (Estación Ancap),RAISAN LTDA. (Estación Ancap),CARLOS MARIA RAMIREZ 1695,MONTEVIDEO,MONTEVIDEO,,23111386,mns.raisan@gmail.com,1.09,14,ANCAP,ANCAP,Avenida Carlos María Ramírez 1695,Montevideo,Montevideo,
10002032,VERDERA E HIJOS S.R.L. (ESTACION ANCAP),ESTACION ANCAP (VERDERA E HIJOS),MILLAN 3771,MONTEVIDEO,MONTEVIDEO,,23362197,ancap.verdera@gmail.com,1.09,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10002174,AGROMOTORA FLORES S.A. (ESTACION AXION)(INTERIOR),AGROMOTORA FLORES S.A. (ESTACION AXION)(INTERIOR),FRANCISCO FONDAR 887,TRINIDAD,FLORES,,43642528,agromflo@adinet.com.uy,1.09,137,Axion,AXION,Francisco Fondar 887,Trinidad,Flores,
10002629,Misurol S.A WTC (Local de venta Disa),Misurol S.A WTC (Local de venta Disa),Luis Alberto de Herrera  1248,MONTEVIDEO,MONTEVIDEO,091366576,,,1.09,105,Servicentro California,AXION,Avenida Luis Alberto de Herrera 4097,Montevideo,Montevideo,
10002400,Derin S.A (Estacion Disa),Derin S.A (Estacion Disa),Av. Garzon 1896,MONTEVIDEO,MONTEVIDEO,098505023,23238040,derindisacolon@gmail.com,1.09,435,Servicentro La Gaceta,AXION,26 de Marzo 3181,Montevideo,Montevideo,
10001991,Mar y Sierra S.R.L.,Mar y Sierra S.R.L. (ESTACIÓN ANCAP),Batlle y Ordóñez  595,PAN DE AZÚCAR,MALDONADO,099114600,44346029,minchenator@gmail.com,1.08,163,ANCAP,ANCAP,José Batlle y Ordóñez 595,Pan de Azúcar,Maldonado,
10002272,Alberto Garcia Otheguy,Alberto Garcia Otheguy (ESTACIÓN DE SERVICIO),Av. Artigas  1347,ECILDA PAULLIER,SAN JOSÉ,098830024,43492203,disaecilda@hotmail.com,1.08,410,Servicentro Marti,AXION,Avenida General Artigas 1666,Ecilda Paullier,,
10002595,Ofelia Raquel Paggi Chappuis SAS,Estación ANCAP (Ofelia Raquel Paggi Chappuis),Ruta 90  km. 6.5,PAYSANDÚ,PAYSANDÚ,091368375,47229527,ancappaggi@gmail.com,1.08,377,ANCAP,ANCAP,Ruta 90 Km 6.5,Paysandú,Paysandú,
10002433,MALCAR S.R.L(ESTACION ANCAP),MALCAR S.R.L(ESTACION ANCAP),AV. libertador Brig. Gral Lavalleja 1572,MONTEVIDEO,MONTEVIDEO,094366150,29002032,malcarsrl@adinet.com.uy,1.08,33,Estación Independencia,ANCAP,Avenida General Rivera 5259,Montevideo,Montevideo,
10002492,Marimar SA (Estacion Ancap Treinta y Tres),Marimar SA (Estación Ancap Treinta y Tres),Manuel Melendez  497,TREINTA Y TRES,TREINTA Y TRES,,44522810,dmartinez.tt@marimar.com.uy,1.07,202,ANCAP,ANCAP,Manuel Meléndez 497,Treinta y Tres,Treinta y Tres,
10002152,ESTACIÓN SAN LUIS LTDA,ESTACIÓN SAN LUIS (ANCAP),Ruta Interbalnearia KM 63.500,CANELONES,CANELONES,,,ancapsanluis@gmail.com,1.06,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10002274,INSUPERABLE,Insuperable (ESTACIÓN ANCAP),Ruta 5   esq. General Galarza,DURAZNO,DURAZNO,099465893,43623663,servicios@elposto.com.uy,1.06,365,Disa,DISA,Ruta 5 Brigadier General Fructuoso Rivera,Durazno,,
10002362,Lesi SRL,Lesi SRL (NEXUR ESTACIÓN AXION),Jose Belloni 4350,MONTEVIDEO,MONTEVIDEO,,22883992,marceabl@hotmail.com,1.06,249,Axion,AXION,Avenida José Belloni 4350,Montevideo,Montevideo,
10002324,SAC LTDA (ESTACION ANCAP),SAC LTDA (ESTACION ANCAP),Rambla de los Argentinos s/n  esq. Avenida Artigas,PIRIÁPOLIS,MALDONADO,099276657,44322240,piriapolisancap@gmail.com,1.06,165,ANCAP,ANCAP,Rambla de Los Argentinos,Piriápolis,Maldonado,
10002265,RIMAN LTDA,Riman ( ESTACIÓN UBESUR),Av. Artigas y Ruta 1,VALDENSE,COLONIA,094203940,29242076,marianellaaguirre@ubesur.com,1.05,185,ANCAP,ANCAP,Avenida General Artigas 1084,Colonia Valdense,Colonia,
10002632,VIA SEGURA SRL (DISA),VIA SEGURA SRL (DISA),Ruta 21 km 318,DOLORES,SORIANO,095724542,4534 2483,info@viasegura.com.uy,1.05,474,Disa,DISA,Ruta 21,Dolores,Soriano,
10002395,Sicol ltda,Sicol ltda,Exodo y Zorrilla de San Martin,OMBÚES DE LAVALLE,COLONIA,091669229,45762047,proveedoresombues@servicial.com.uy,1.05,36,ANCAP,ANCAP,Juan Zorrilla de San Martín,Ombúes de Lavalle,Colonia,
10002159,KANTA S.A. (ESTACION ANCAP),KANTA S.A. (ESTACION ANCAP),BELLONI 4643,MONTEVIDEO,MONTEVIDEO,092850505,22277312,compras-kanta@hotmail.com,1.04,250,ANCAP,ANCAP,Avenida José Belloni 4643,Montevideo,Montevideo,
10002173,LEGAMAR S.A. (ESTACION AXION),LEGAMAR S.A. (ESTACION AXION),AV. ITALIA 7548,MONTEVIDEO,MONTEVIDEO,,26004374,legamarsa@gmail.com,1.04,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10002191,ESTACION UNION LTDA. (ANCAP),ESTACION UNION LTDA. (ANCAP),Br. BATLLE Y ORDOÑEZ 2901 esq. JOANICÓ,MONTEVIDEO,MONTEVIDEO,095900958,24872798,estacionunion@vera.com.uy,1.04,114,Estación sin nombre,OTRA,Avenida Doctor Francisco Soca 1151,Montevideo,Montevideo,
10002449,Disa Santa Lucia,Disa Santa Lucia,Ruta 11 y Diego Lamas,SANTA LUCÍA DEL ESTE,CANELONES,096854780,43346114,leonardoromero02@gmail.com,1.04,0,Disa,DISA,Ruta 11 José Batlle y Ordóñez,Santa Lucía,Canelones,
10002398,Ruta Doce S.A,Ruta Doce S.A,Ruta 12 km 1.5,NUEVA PALMIRA,COLONIA,098413272-091669229,45448880,minipalmira@servicial.com.uy,1.03,466,ANCAP,ANCAP,Ruta 2,,Colonia,
10002480,DEBIFOX S.A,DEBIFOX S.A (ESTACIÓN DISA ATLANTIDA),INTERBALNEARIA KM 45 CALLE 11,ATLÁNTIDA,CANELONES,097555024,43722079,debifoxsa@adinet.com.uy,1.03,217,Disa,DISA,Las Magnolias,Atlántida,Canelones,
10002813,Francolino Hnos (Estación Ancap Young),Francolino Hnos (Estación Ancap Young),Montevideo 3194,YOUNG,RÍO NEGRO,099719737,47224517,,1.03,98,ANCAP,ANCAP,Montevideo,Young,Río Negro,
10002481,Vicas S.R.L,Vicas S.R.L,Rio Negro 1566,MONTEVIDEO,MONTEVIDEO,099180420,2902 3624,ventas@vicas.com.uy,1.02,207,Servicentro Roxlo,AXION,Constituyente 1654,Montevideo,Montevideo,
10002529,Felemark S.A (ESTACION DISA),Felemark S.A (ESTACION DISA),Ruta 1 km 10.300,MONTEVIDEO,MONTEVIDEO,094481800,23180707,felemarksa@gmail.com,1.02,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10001965,DIAMANTE S.A. (ESTACIÓN ANCAP),ESTACIÓN ANCAP 1,Ruta 39   esq. Luis Alberto de Herrera,SAN CARLOS,MALDONADO,,42669156,varela@estaciones.com.uy,1.02,131,ANCAP,ANCAP,Avenida Doctor Luis Alberto de Herrera,Cerro Pelado,Maldonado,
10002027,SAMMEL S.A.,SAMMEL S.A.,ARTURO LEZAMA 2061,MONTEVIDEO,MONTEVIDEO,,2929 0000,,1.01,446,El Faro,ANCAP,Rambla Wilson,Montevideo,Montevideo,
10001911,MADINSUL S.A.,ESTACIÓN DISA,Ruta 6km.33.915,CANELONES,CANELONES,099975846,22940207,madinsul@gmail.com,1.01,246,Disa,DISA,Treinta y Tres,Canelones,Canelones,
10002318,Presentti S.A (ESTACION ANCAP),Presentti S.A (ESTACION ANCAP),Camino de la Palmita ex ruta 55 km 5,CONCHILLAS,COLONIA,092434153,4570 7340,miniconchillas@servicial.com.uy,1.01,322,ANCAP,ANCAP,Camino a la Palmita,Conchillas,COLONIA,
10002605,Petitmar SA (Estacion ANCAP),Petitmar SA (Estacion ANCAP),Aparicio Saravia  991 esq. La rotonda,COLONIA,COLONIA,099522350,45226350,petitmarancap@hotmail.com,1.01,182,ANCAP,ANCAP,Avenida Aparicio Saravia 991,Colonia,Colonia,
10002273,RECA LTDA,Reca (Estación de Servicio),Calle 33 y Ruta 6 vieja,CANELONES,CANELONES,095243289,22940486,recaltda@adinet.com.uy,1.0,28,Servicentro La Plaza,AXION,José Batlle y Ordóñez 947,Canelones,Canelones,
10001927,RUTA 11 SRL (ESTACIÓN ANCAP),ESTACIÓN ANCAP RUTA 11,RUTA 11 Y AV ARTIGAS,SAN JACINTO,CANELONES,,43992658,ruta11srl2@gmail.com,0.99,215,ANCAP,ANCAP,Ruta 11 José Batlle y Ordóñez,San Jacinto,Canelones,
10002801,Estacion de la Ruta SAS (ESTACION DISA),Estacion de la Ruta SAS(ESTACION DISA),18 DE JULIO 978,MINAS,LAVALLEJA,091500711,,,0.99,200,Disa,DISA,18 de Julio 643,Minas,,
10002617,Gabeler S.A (ESTACION ANCAP),Gabeler S.A (ESTACION ANCAP),Av. Zelmar Michelini y Roosevelt,MALDONADO,MALDONADO,097187827,42271179,ancapgabeler@gmail.com,0.98,458,ANCAP,ANCAP,Avenida Franklin Delano Roosevelt,Maldonado,Maldonado,
10002771,Francolino Hnos (Estacion Ancap),Francolino Hnos (Estación Ancap),Avda. España y Juncal,PAYSANDÚ,PAYSANDÚ,099719737,47224517,,0.98,225,ANCAP,ANCAP,Avenida España,Paysandú,Paysandú,
10002165,DRESUR S.A.,DRESUR S.A. (ESTACION ANCAP SUAREZ),JOAQUIN SUAREZ  esq. RUTA 5,DURAZNO,DURAZNO,,,gerencia@dresur.com,0.97,336,ANCAP,ANCAP,Joaquín Suarez,Durazno,Durazno,
10002604,Vimpel SA (Estación Ancap),Vimpel SA (Estación Ancap),AV. PEDRAGOSA SIERRA S/N  S/N esq. ROOSVELT.,PUNTA DEL ESTE,MALDONADO,097254264,42491820,vimpelsagabrielf@gmail.com,0.97,129,ANCAP,ANCAP,Avenida Orlando Pedragosa Sierra,Punta del Este,Maldonado,
10001922,Mec ltda. (Estación Ancap),Estación Ancap (Mec ltda.),Avenida Artigas  esq. República Argentina,LAS PIEDRAS,CANELONES,,099278705,mecancapltda@gmail.com,0.96,218,ANCAP,ANCAP,Avenida General Artigas,Las Piedras,Canelones,
10002021,AGROCENTRO CASUPA S.R.L.,AGROCENTRO CASUPA S.R.L.,ASAMBLEA 998,CASUPÁ,FLORIDA,,099351246,agrocentrocasupasrl@hotmail.com,0.96,210,ANCAP,ANCAP,Avenida Asamblea de la Florida,Casupá,Florida,
10002116,ALERO AZUL (ESTACIÓN ANCAP),ALERO AZUL (ESTACIÓN ANCAP),INES DURAN  esq. NAVEA,TRINIDAD,FLORES,,43642746,proveedores@aleroazul.com,0.96,96,ANCAP,ANCAP,Inés Durán 1061,Trinidad,Flores,
10002696,Marimar S.A (Cebollati),Marimar S.A (Cebollati),San Miguel s/n,CEBOLLATÍ,ROCHA,094964973,44599135,eess.cebollati@marimar.com.uy,0.96,395,ANCAP,ANCAP,San Miguel,Cebollatí,Rocha,
10002402,Automovil Club del Uruguay,Automovil Club del Uruguay,Colonia  1291 esq. Yi,MONTEVIDEO,MONTEVIDEO,099667193,,dgallino@acu.com.uy,0.96,434,ANCAP,ANCAP,Colonia 1291,Montevideo,Montevideo,
10002235,Chelato Montevideo SRL,Chelato Montevideo SRL,Av. Perez Butler M249 /S2,CIUDAD DE LA COSTA,CANELONES,097759970,,info.chelato@gmail.com,0.95,110,Servicentro Solymar,AXION,Avenida Ingeniero Luis Giannattasio Km 23.300,Ciudad de la Costa,Canelones,
10002526,S.T.I LTDA (ESTACION ANCAP),S.T.I LTDA (ESTACION ANCAP),Calle 20 y 30,PUNTA DEL ESTE,MALDONADO,095047947,4244 7046,administracion@ancapsti.com,0.95,66,ANCAP,ANCAP,El Remanso (Calle 20),Punta del Este,Maldonado,
10001921,CODALUR S.A. (ESTACIÓN DISA),ESTACION DISA (CODALUR),Ruta 11  esq. Ruta 7,SAN JACINTO,CANELONES,,43992880,disasanjacinto@gmail.com,0.94,299,Disa,DISA,Ruta 11 José Batlle y Ordóñez,San Jacinto,Canelones,
10001978,Dinex S.R.L. (ESTACIÓN ANCAP),Dinex S.R.L. (ESTACIÓN ANCAP),Rambla Costanera y Lavalleja,CIUDAD DE LA COSTA,CANELONES,,099913137,faancap@gmail.com,0.94,241,ANCAP,ANCAP,Rambla General Liber Seregni,Ciudad de la Costa,Canelones,
10002125,BISDUR S.A. (ESTACION AXION),BISDUR S.A. (ESTACION AXION),LUIS BATLLE BERRES  esq. ARTIGAS,DURAZNO,DURAZNO,092409870,,gerencia@bisdur.com,0.94,335,Axion,AXION,Avenida General José Artigas,Durazno,Durazno,
10002357,DAMIMAR LTDA.,DAMIMAR LTDA. (Estacion Ancap),Av Artigas y ruta 1,COLONIA VALDENSE,COLONIA,4558-8824,,ancapvaldense@gmail.com,0.94,185,ANCAP,ANCAP,Avenida General Artigas 1084,Colonia Valdense,Colonia,
10002581,NOVERTIL S.A (ANCAP SOLANAS),NOVERTIL S.A (ANCAP SOLANAS),Ruta 93 km 118.200,MALDONADO,MALDONADO,098534173,4257 8990,pgarcia@ancapsolanas.com.uy,0.94,363,ANCAP,ANCAP,Ruta 39,Maldonado,Maldonado,
10002585,Galaxor S.A (Estacion ANCAP),Galaxor S.A (Estacion ANCAP),Ruta 1 km 50300,LIBERTAD,SAN JOSÉ,094372345,43455309,ancaplibertad@gmail.com,0.94,140,ANCAP,ANCAP,Ruta 1 Brigadier General Manuel Oribe Km 50.300,Libertad,San José,
10001945,Mans S.R.L,Mans S.R.L (Estación Ancap),Ruta 6 km 62200,CANELONES,CANELONES,,99979453,,0.93,440,ANCAP,ANCAP,Ruta 11 José Batlle y Ordóñez Km 102.300,Canelones,Canelones,
10002172,DRESUR S.A.,DRESUR S.A. (ESTACIÓN ANCAP 19 DE ABRIL),19 DE ABRIL  esq. BALTAZAR BRUM,DURAZNO,DURAZNO,,,proveedores@dresur.com,0.93,365,Disa,DISA,Ruta 5 Brigadier General Fructuoso Rivera,Durazno,,
